wn_obs,wn_obs_unc,I_obs,snr_obs
13.098552226,2.3940776333e-05,1448.9099716,2.5893294184
13.111343396,2.421829668e-05,2864.335703,3.3038210209
13.111938075,2.4242379139e-05,1759.1968795,2.6480321691
13.114475765,4.2409086872e-05,2154.4565353,3.8414132434
13.117264095,1.1737308678e-05,4800.8943382,5.9886087956
13.121764681,3.4793510568e-05,3682.3159617,3.1030148446
13.128837084,2.8501405092e-05,3434.6109533,2.8934514314
13.140923092,4.2333263635e-05,4222.1335058,2.5007458574
13.14403796,1.0378602998e-05,6074.6278356,7.1751723757
13.147843039,9.930030379e-06,8904.608802,8.4098912979
13.159026303,2.339709265e-05,2244.1703203,2.8672501698
13.159676716,2.4078717718e-05,3658.258471,3.4682679046
13.160655115,3.7352827941e-05,3674.4167899,2.4572943875
13.161064593,2.9591251247e-05,3998.6700295,3.4821838432
13.161583265,3.2149095872e-05,4837.7094503,3.3182015303
13.17030829,1.1091450838e-05,10167.486664,12.764064568
13.175705464,1.2173242578e-05,12236.801189,8.185774401
13.190603915,1.645485435e-05,3215.4481665,4.2771080307
13.193318948,1.311761673e-05,7247.4846923,9.4098909351
13.205008114,1.722021507e-05,4114.9562571,4.5779888298
13.206480847,3.409771748e-05,4754.1252141,3.9201989746
13.213365191,3.9526572404e-05,5057.1746304,3.5424903235
